User ID,Friends Count,Liked Genres
5881,1,"['Electro Pop/Electro Rock', 'Dancefloor', 'Indie Rock/Rock pop', 'Chill Out/Trip-Hop/Lounge', 'Soundtracks', 'Romantic', 'Bluegrass', 'Contemporary Soul', 'Old School', 'Baroque', 'Instrumental jazz', 'Asian Music', 'Tropical', 'Early Music', 'Dancehall/Ragga', 'Pop', 'Metal', 'West Coast', 'Indie Pop/Folk', 'Sports', 'Brazilian Music', 'Bollywood', 'Nursery Rhymes', 'Alternative Country', 'Indian Music', 'Latin Music', 'Delta Blues', 'Opera', 'Ranchera', 'Oldschool R&B', 'Soul & Funk', 'Electro', 'Alternative', 'Electric Blues', 'Techno/House', 'Films/Games', 'Hard Rock', 'Kids']"
1002,11,"['Folk', 'Indie Rock/Rock pop', 'Soundtracks', 'Romantic', 'Contemporary Soul', 'Old School', 'Baroque', 'Instrumental jazz', 'Asian Music', 'Tropical', 'Early Music', 'Grime', 'Metal', 'West Coast', 'Brazilian Music', 'Bollywood', 'Nursery Rhymes', 'Alternative Country', 'Indian Music', 'Dubstep', 'Classical Period', 'Vocal jazz', 'Latin Music', 'Ranchera', 'Oldschool R&B', 'Soul & Funk', 'Electro', 'Alternative', 'Dub', 'Electric Blues', 'Rap/Hip Hop', 'Techno/House', 'Contemporary R&B', 'Films/Games', 'Hard Rock', 'Kids']"
5476,13,"['Classical', 'Indie Rock/Rock pop', 'Chill Out/Trip-Hop/Lounge', 'Soundtracks', 'Romantic', 'Contemporary Soul', 'Old School', 'Instrumental jazz', 'Asian Music', 'Early Music', 'Grime', 'Metal', 'West Coast', 'Indie Pop/Folk', 'Sports', 'Brazilian Music', 'Bollywood', 'Nursery Rhymes', 'Alternative Country', 'Indian Music', 'Dubstep', 'Opera', 'Ranchera', 'Oldschool R&B', 'Soul & Funk', 'Electro', 'Alternative', 'Dub', 'Electric Blues', 'Rap/Hip Hop', 'Techno/House', 'Films/Games', 'Hard Rock', 'Kids']"
4702,15,"['Folk', 'Dancefloor', 'Indie Rock/Rock pop', 'Soundtracks', 'Romantic', 'Indie Rock', 'Contemporary Soul', 'Asian Music', 'Tropical', 'Early Music', 'Film Scores', 'Grime', 'Metal', 'West Coast', 'Indie Pop/Folk', 'Brazilian Music', 'Bollywood', 'Nursery Rhymes', 'Indian Music', 'Classical Period', 'African Music', 'Ranchera', 'Oldschool R&B', 'Soul & Funk', 'Electro', 'Dub', 'Electric Blues', 'Rap/Hip Hop', 'Techno/House', 'Game Scores', 'Films/Games', 'Hard Rock', 'Dirty South']"
2408,20,"['Folk', 'Electro Pop/Electro Rock', 'Indie Rock/Rock pop', 'Soundtracks', 'Romantic', 'Contemporary Soul', 'Old School', 'Baroque', 'Instrumental jazz', 'Asian Music', 'Tropical', 'Early Music', 'Pop', 'Grime', 'Metal', 'West Coast', 'Indie Pop/Folk', 'Brazilian Music', 'Nursery Rhymes', 'Alternative Country', 'Indian Music', 'Classical Period', 'Ranchera', 'Modern', 'Soul & Funk', 'Electro', 'Dub', 'Electric Blues', 'Rap/Hip Hop', 'Techno/House', 'Films/Games', 'Hard Rock']"
4113,19,"['Folk', 'Dancefloor', 'Indie Rock/Rock pop', 'Soundtracks', 'Romantic', 'Contemporary Soul', 'Baroque', 'Asian Music', 'Tropical', 'R&B', 'Pop', 'Film Scores', 'Grime', 'Indie Pop/Folk', 'Brazilian Music', 'Bollywood', 'Nursery Rhymes', 'Alternative Country', 'Indian Music', 'Classical Period', 'Ranchera', 'Oldschool R&B', 'Soul & Funk', 'Electro', 'Dub', 'Electric Blues', 'Rap/Hip Hop', 'Techno/House', 'Contemporary R&B', 'Films/Games', 'Hard Rock', 'Kids']"
642,18,"['Indie Rock/Rock pop', 'Soundtracks', 'Romantic', 'Contemporary Soul', 'Old School', 'Baroque', 'Asian Music', 'Tropical', 'Grime', 'West Coast', 'Sports', 'Brazilian Music', 'Bollywood', 'Nursery Rhymes', 'Alternative Country', 'Indian Music', 'Classical Period', 'Chicago Blues', 'Opera', 'Ranchera', 'Oldschool R&B', 'Soul & Funk', 'Electro', 'Alternative', 'Dub', 'Electric Blues', 'Rap/Hip Hop', 'Techno/House', 'Traditional Country', 'Films/Games', 'Hard Rock', 'Kids']"
3044,18,"['Folk', 'Indie Rock/Rock pop', 'Comedy', 'Chill Out/Trip-Hop/Lounge', 'Soundtracks', 'Romantic', 'Contemporary Soul', 'Asian Music', 'Tropical', 'Pop', 'Grime', 'Metal', 'Indie Pop/Folk', 'International Pop', 'Brazilian Music', 'Bollywood', 'Nursery Rhymes', 'Alternative Country', 'Indian Music', 'Classical Period', 'Ranchera', 'Oldschool R&B', 'Soul & Funk', 'Electro', 'Dub', 'Electric Blues', 'Rap/Hip Hop', 'Techno/House', 'Contemporary R&B', 'Films/Games', 'Hard Rock', 'Kids']"
2877,14,"['Folk', 'Jazz Hip Hop', 'Indie Rock/Rock pop', 'Comedy', 'Soundtracks', 'Romantic', 'Contemporary Soul', 'Baroque', 'Urban Cowboy', 'Asian Music', 'Tropical', 'Film Scores', 'West Coast', 'Acoustic Blues', 'Brazilian Music', 'Bollywood', 'Nursery Rhymes', 'Indian Music', 'Classical Period', 'Ranchera', 'Oldschool R&B', 'Kids & Family', 'Soul & Funk', 'Electro', 'Dub', 'Electric Blues', 'Rap/Hip Hop', 'Techno/House', 'Contemporary R&B', 'Films/Games', 'Hard Rock', 'Kids']"
6808,12,"['Folk', 'Jazz Hip Hop', 'Indie Rock/Rock pop', 'Comedy', 'Soundtracks', 'Romantic', 'Contemporary Soul', 'Baroque', 'Asian Music', 'Tropical', 'R&B', 'Grime', 'Metal', 'West Coast', 'Indie Pop/Folk', 'Brazilian Music', 'Nursery Rhymes', 'Indian Music', 'Classical Period', 'Opera', 'Ranchera', 'Oldschool R&B', 'Soul & Funk', 'Electro', 'Alternative', 'Dub', 'Electric Blues', 'Rap/Hip Hop', 'Contemporary R&B', 'Jazz', 'Films/Games', 'Hard Rock']"
