User ID,Concert Visits,Friends Count
5881,15762,1
1002,15012,11
5476,14262,13
4702,13887,15
2877,13512,14
642,13512,18
3044,13512,18
6525,13512,7
6942,13512,8
7181,13512,5
7415,13512,3
4113,13512,19
2408,13512,20
6808,13512,12
5808,13137,10
6030,13137,3
6678,13137,34
4291,13137,1
6896,12762,7
2935,12762,4
5443,12762,20
1637,12762,18
3210,12762,16
3041,12762,23
7091,12762,14
1484,12387,34
5350,12387,13
39,12387,15
8077,12387,16
4565,12387,9
7997,12387,9
4935,12387,29
3148,12387,6
5653,12387,10
7267,12012,12
6228,12012,4
1612,12012,113
3544,12012,14
5559,12012,16
5643,12012,7
284,12012,24
903,12012,6
6569,11637,12
6713,11637,14
7771,11637,11
7777,11637,5
2404,11637,4
7745,11637,7
6431,11637,12
5556,11637,5
714,11637,14
590,11637,41
5771,11637,8
8246,11637,6
4109,11637,8
2733,11637,9
7442,11262,21
6195,11262,3
3151,11262,2
991,11262,18
425,11262,17
6003,11262,12
6132,11262,1
6443,11262,2
6757,11262,4
4595,11262,21
7199,11262,20
5993,11262,6
5690,11262,7
1301,11262,16
4154,11262,15
6499,11262,21
4806,11262,9
2926,11262,12
5468,11262,1
8034,11262,3
3897,11262,22
525,11262,13
4560,10887,1
2940,10887,1
320,10887,23
5406,10887,11
7508,10887,18
6167,10887,16
1390,10887,16
741,10887,8
6137,10887,3
4591,10887,22
101,10887,33
5560,10887,38
1429,10887,4
7718,10887,8
6875,10887,15
5824,10887,6
1604,10887,9
3100,10887,7
2783,10887,9
506,10887,63
5798,10887,4
7297,10887,23
4509,10887,6
7453,10887,2
1935,10887,6
469,10512,24
5883,10512,8
3076,10512,17
6987,10512,14
4726,10512,35
2679,10512,8
312,10512,84
3994,10512,9
7707,10512,7
2898,10512,29
1183,10512,1
7245,10512,3
5433,10512,7
8272,10512,3
6721,10512,6
4459,10512,19
4773,10512,2
5923,10512,10
5277,10512,27
5507,10512,10
6982,10512,11
4488,10512,5
1454,10137,6
527,10137,12
7066,10137,22
2552,10137,12
2951,10137,10
8082,10137,7
5388,10137,3
6820,10137,4
4183,10137,14
7275,10137,5
7184,10137,13
1899,10137,15
4529,10137,1
3815,10137,9
3510,10137,1
7017,10137,8
7287,10137,16
5344,10137,12
4161,10137,12
3564,10137,11
933,10137,9
5403,10137,6
7889,10137,11
4968,10137,19
7509,10137,4
6575,10137,13
8048,10137,14
1492,10137,6
4682,10137,16
5164,10137,14
6617,10137,15
6935,10137,10
2497,10137,2
7996,10137,10
6990,10137,2
2504,10137,8
3233,9762,3
7743,9762,14
5599,9762,5
3921,9762,17
6910,9762,6
5544,9762,17
7140,9762,2
4953,9762,8
1727,9762,20
3244,9762,16
7990,9762,19
4703,9762,3
5566,9762,11
682,9762,15
7327,9762,14
7785,9762,5
5407,9762,2
8036,9762,8
5654,9762,8
694,9762,56
7871,9762,36
5408,9762,7
4159,9762,3
554,9762,37
5726,9762,2
4220,9762,18
2908,9762,8
1323,9762,12
8095,9762,27
5427,9762,16
1915,9762,5
6483,9762,10
3742,9762,2
1505,9762,6
7874,9762,15
1636,9762,12
2826,9762,24
6031,9762,5
4530,9762,19
2313,9762,17
1444,9762,19
4828,9762,9
7444,9762,8
7602,9762,8
4351,9762,17
835,9762,26
5270,9762,5
5139,9387,32
4083,9387,6
5663,9387,9
7400,9387,11
4627,9387,10
4352,9387,42
6956,9387,8
6781,9387,3
1273,9387,5
2917,9387,7
3660,9387,34
3321,9387,10
2575,9387,14
1408,9387,24
3745,9387,13
27,9387,18
4597,9387,10
1795,9387,12
133,9387,30
6157,9387,3
4256,9387,14
6529,9387,7
33,9387,9
7240,9387,7
3556,9387,12
7655,9387,8
7063,9387,7
732,9387,22
1450,9387,11
940,9387,24
904,9387,41
7054,9387,8
7104,9387,5
6743,9387,20
3802,9387,4
7440,9387,22
3131,9387,12
2008,9387,7
3805,9387,9
1442,9387,7
5912,9387,14
4584,9387,9
430,9387,31
3539,9387,1
3218,9387,7
5551,9387,22
8001,9387,5
7137,9387,11
1805,9012,43
3169,9012,10
937,9012,20
7041,9012,8
7897,9012,3
8254,9012,4
3198,9012,16
1138,9012,10
434,9012,23
3153,9012,2
889,9012,12
8025,9012,9
1121,9012,11
1501,9012,10
342,9012,24
443,9012,29
6747,9012,9
4076,9012,19
5597,9012,5
5436,9012,11
7460,9012,14
416,9012,38
4062,9012,18
1172,9012,12
3049,9012,4
3782,9012,21
5605,9012,9
7261,9012,21
4011,9012,43
8111,9012,9
4977,9012,23
3458,9012,12
2242,9012,39
6519,9012,12
7228,9012,13
715,9012,57
4678,9012,2
1050,9012,1
2885,9012,6
718,9012,11
1509,9012,15
3860,9012,5
1426,9012,2
8099,9012,14
628,9012,9
5752,9012,15
4226,9012,12
5828,9012,11
3520,9012,18
3382,9012,11
597,9012,9
701,9012,23
4658,9012,17
4377,9012,6
1737,9012,11
3550,9012,40
2947,9012,8
3368,9012,14
269,9012,50
3509,9012,10
4898,8637,3
6742,8637,16
5603,8637,6
6724,8637,18
7269,8637,12
7737,8637,15
4654,8637,12
5853,8637,7
1693,8637,4
6817,8637,3
2628,8637,5
6338,8637,10
7417,8637,11
6048,8637,23
2287,8637,1
391,8637,40
1010,8637,16
6651,8637,3
5908,8637,18
4887,8637,5
3155,8637,4
4786,8637,40
4827,8637,1
2035,8637,19
7848,8637,7
5675,8637,1
2259,8637,4
7593,8637,5
494,8637,18
1077,8637,16
503,8637,8
1647,8637,20
2559,8637,15
2483,8637,23
6118,8637,3
1871,8637,10
524,8637,24
2121,8637,9
2525,8637,17
4923,8637,8
4394,8637,16
4619,8637,1
2873,8637,13
1059,8637,28
878,8637,12
3081,8637,42
2175,8637,4
1114,8637,10
4810,8637,24
3931,8637,18
6576,8637,3
588,8637,38
587,8637,55
6237,8637,8
7565,8637,4
7285,8637,6
752,8637,7
6080,8637,12
5779,8637,4
5639,8637,7
6071,8637,10
3200,8637,7
4687,8637,10
5063,8637,17
5486,8637,28
1409,8637,6
231,8637,13
7081,8637,4
5199,8637,1
3868,8637,11
1526,8637,27
5363,8637,12
5184,8637,14
8153,8637,8
1530,8637,29
3650,8637,10
3649,8637,8
119,8637,29
3648,8637,12
6999,8637,2
3879,8637,11
102,8637,35
104,8637,39
172,8637,20
8230,8637,3
5274,8637,20
507,8262,5
5423,8262,6
6752,8262,5
5057,8262,13
600,8262,43
5700,8262,11
3220,8262,11
7807,8262,6
608,8262,12
8262,8262,1
4824,8262,2
2493,8262,20
4464,8262,8
1025,8262,19
6017,8262,6
4017,8262,36
3575,8262,14
8058,8262,2
7978,8262,17
2641,8262,14
3316,8262,6
4559,8262,19
2520,8262,10
319,8262,10
1701,8262,12
4342,8262,7
1706,8262,20
3448,8262,13
6680,8262,4
7888,8262,4
5646,8262,8
1870,8262,30
3375,8262,11
6340,8262,8
5762,8262,13
1150,8262,12
3197,8262,13
4793,8262,14
6891,8262,7
1849,8262,10
4073,8262,26
572,8262,28
7175,8262,8
7868,8262,2
1996,8262,18
182,8262,34
6286,8262,12
4081,8262,3
2395,8262,6
5372,8262,8
1649,8262,10
387,8262,18
7880,8262,11
3773,8262,15
3402,8262,12
3657,8262,10
7552,8262,2
6136,8262,9
3322,8262,33
