User ID,Concert Visits,Friends Count
108,4137,203
2163,2262,139
468,3762,127
4803,1887,125
1909,1887,121
327,5637,120
1974,4887,114
1612,12012,113
1875,3012,113
775,2262,108
294,6012,104
491,3012,104
1512,1887,101
1528,2262,98
520,1887,96
1197,4887,95
377,3012,95
1286,1887,93
2595,3762,93
1210,7137,92
122,1887,90
419,6762,90
48,3387,90
9,2262,89
395,1887,89
160,6762,88
323,2262,87
3578,6012,87
768,2637,86
1315,7887,86
4001,1887,86
2894,5262,86
3543,3012,85
312,10512,84
299,4137,83
830,4887,81
855,6387,81
1305,5637,79
2654,5637,78
168,3387,77
3105,4512,76
1313,2262,75
5569,4887,75
1687,6387,73
2528,3387,73
1252,2262,72
1773,2637,71
2237,4512,71
2117,3762,70
177,6387,70
2435,7887,70
363,4137,70
118,3762,69
5250,4887,69
996,1887,69
94,4137,69
1316,5262,68
265,2262,68
2494,3012,68
7060,4887,67
2116,1887,67
1728,2262,67
384,4512,67
3417,4512,66
6005,6762,65
3664,6012,65
245,3012,65
3764,7887,65
518,2637,65
3004,4137,65
366,5262,64
156,2262,64
131,2262,63
5269,3012,63
559,1887,63
141,3387,63
303,3762,63
506,10887,63
615,6387,63
1399,1887,62
2417,4137,61
2004,5262,61
446,6762,61
1658,4137,60
8016,3762,60
365,3387,60
260,6387,60
1904,4137,59
1117,3387,59
5180,1887,59
1072,1887,58
2230,3012,58
445,2262,58
544,4887,58
372,4887,58
125,5262,57
1883,4137,57
942,3762,57
715,9012,57
80,2262,57
409,2262,57
14,2637,57
1923,8262,56
1947,7137,56
361,4137,56
694,9762,56
846,1887,56
1980,3387,56
2,7887,56
587,8637,55
703,3012,55
4035,1887,55
2437,1887,55
2010,3387,55
290,3387,54
2580,1887,54
980,1887,54
458,3012,53
3498,6762,53
2037,3012,53
4060,5262,53
243,6387,53
5775,4887,53
5163,2637,53
3345,1887,53
179,2262,53
819,4137,53
2651,1887,53
2769,3387,53
5416,2262,52
460,4887,52
2293,4512,52
287,2262,52
2503,3012,52
2159,4512,52
1311,2262,51
280,2637,51
279,7887,51
1860,4512,51
328,4137,50
269,9012,50
7296,6762,50
4207,7137,50
289,2262,50
1307,2637,50
1986,1887,50
1095,2262,50
5033,1887,50
492,7512,50
517,3387,49
2003,5262,49
2245,1887,49
6161,4887,49
1807,6012,49
966,4137,49
1886,5637,48
272,4887,48
6371,2262,48
3602,1887,48
766,4137,48
1815,2637,48
1302,3387,48
853,2262,47
602,6387,47
7421,3387,47
4761,5637,47
1403,2637,47
4013,6012,47
139,2637,47
40,3012,47
2508,3762,47
2350,1887,47
832,2637,47
2429,6012,47
5272,3762,47
3785,3387,47
471,2637,47
5279,2637,46
571,4512,46
725,7137,46
3997,3387,46
1218,1887,46
249,7887,46
811,5262,46
551,2637,46
57,1887,46
281,3012,46
2766,1887,46
4026,1887,46
526,2262,46
41,3012,45
7875,4512,45
4022,6012,45
456,1887,45
2770,2637,45
2235,2637,45
1069,4512,45
4014,5637,45
5658,4137,45
114,4887,45
5251,5637,45
1380,1887,45
1877,4512,45
5,1887,44
532,4512,44
7773,2637,44
452,2262,44
2895,1887,44
1337,2262,44
3427,7137,44
3700,5262,44
1310,2262,44
264,2262,44
1739,6012,44
2020,7137,44
555,3012,44
4796,6012,44
1939,1887,43
3284,2637,43
1805,9012,43
894,1887,43
4011,9012,43
600,8262,43
288,1887,43
1931,3012,43
5271,3762,43
305,2262,43
3769,3387,43
5084,2262,43
43,2637,43
3505,1887,43
949,1887,43
716,3012,43
5254,6012,43
1895,4512,42
1216,4887,42
1222,1887,42
2531,3387,42
2833,2262,42
3820,3387,42
3788,1887,42
3652,3762,42
4352,9387,42
816,1887,42
3081,8637,42
621,4887,42
60,1887,41
3495,8262,41
590,11637,41
2446,2262,41
2424,7137,41
